Source code repositories,,Issue tracking systems,,Architectural documentation,,,,,,,,,
System,# papers,System,# papers,System,# papers,,,,,,,,
jgit,4,airflow,1,AspectualMedia,1,jgit,jgit,,ActiveMQ,4,2,0,6
JGraph,4,allura,1,AspectualWatcher,1,JGraph,JGraph,,Nutch,3,3,0,6
Jspwiki,4,Android,1,Audacity,1,Jspwiki,Jspwiki,,MINA,5,1,0,6
JUnit,4,ArgoUML,1,GIMP,1,JUnit,JUnit,,MIDAS,3,1,1,5
Log4j,4,bitbake,1,PDP,1,Log4j,Log4j,,MobileMedia,3,1,1,5
Mahout,4,celery,1,MIDAS,1,Mahout,Mahout,,Hibernate,4,1,0,5
Pig,4,certbot,1,,,Pig,Pig,,Jspwiki,4,1,0,5
poi,4,chatterBot,1,,,poi,poi,,Log4j,4,1,0,5
Zookeeper,4,cherrypy,1,,,Zookeeper,Zookeeper,,Hive,3,2,0,5
Antlr,3,Chrome,1,,,Antlr,Antlr,,ROS dataset,3,0,2,5
Azureus,3,Chromium,1,,,Azureus,Azureus,,JSPWiki,4,1,0,5
Chukwa,3,cobbler,1,,,Chukwa,Chukwa,,PDP,2,1,1,4
egit,3,codespeed,1,,,egit,egit,,HDFS,1,2,1,4
Elasticsearch,3,Continuum,1,,,Elasticsearch,Elasticsearch,,JackRabbit,3,1,0,4
Fastjson,3,deluge,1,,,Fastjson,Fastjson,,JBoss,3,1,0,4
Freemind,3,Dopler,1,,,Freemind,Freemind,,JFreechart,3,0,1,4
Hive,3,dymos,1,,,Hive,Hive,,Httpd,2,2,0,4
JackRabbit,3,eShopOnContainers,1,,,JackRabbit,JackRabbit,,PHP,2,2,0,4
java-client,3,Flink,1,,,java-client,java-client,,JFreeChart,3,0,1,4
JBoss,3,gajim,1,,,JBoss,JBoss,,AspectualMedia,2,0,1,3
JFreechart,3,gensim,1,,,JFreechart,JFreechart,,AspectualWatcher,2,0,1,3
JMeter,3,goa,1,,,JMeter,JMeter,,eShopOnContainers,2,1,0,3
Jung,3,Groovy,1,,,Jung,Jung,,JDT,2,1,0,3
jvm-core,3,gunicorn,1,,,jvm-core,jvm-core,,OpenPOS,2,1,0,3
linuxtools,3,"Hadoop, ofBiz",1,,,linuxtools,linuxtools,,UniNFe,2,1,0,3
MIDAS,3,"Hadoop, Spark",1,,,MIDAS,MIDAS,,Apache,1,2,0,3
MobileMedia,3,HealthWatcher,1,,,MobileMedia,MobileMedia,,Unix,1,0,1,2
Nutch,3,Hibernate,1,,,Nutch,Nutch,,airflow,1,1,0,2
okhttp,3,horizon,1,,,okhttp,okhttp,,allura,1,1,0,2
platform.ui,3,Ignite,1,,,platform.ui,platform.ui,,Android,1,1,0,2
ROS dataset,3,ipython,1,,,ROS dataset,ROS dataset,,bitbake,1,1,0,2
spymemcached,3,JackRabbit,1,,,spymemcached,spymemcached,,celery,1,1,0,2
testNG,3,JBoss,1,,,testNG,testNG,,certbot,1,1,0,2
Weka,3,JDT,1,,,Weka,Weka,,chatterBot,1,1,0,2
Accumulo,2,JSPWiki,1,,,Accumulo,Accumulo,,cherrypy,1,1,0,2
AspectualMedia,2,Kafka,1,,,AspectualMedia,AspectualMedia,,Chrome,1,1,0,2
AspectualWatcher,2,Karaf,1,,,AspectualWatcher,AspectualWatcher,,Chromium,1,1,0,2
checkstyle,2,keras,1,,,checkstyle,checkstyle,,cobbler,1,1,0,2
Druid,2,libcloud,1,,,Druid,Druid,,codespeed,1,1,0,2
eShopOnContainers,2,light-4j,1,,,eShopOnContainers,eShopOnContainers,,Continuum,1,1,0,2
Findbugs,2,Log4j,1,,,Findbugs,Findbugs,,deluge,1,1,0,2
Httpd,2,Microservices-demo,1,,,Httpd,Httpd,,dymos,1,1,0,2
Jackson,2,MIDAS,1,,,Jackson,Jackson,,Flink,1,1,0,2
Jasperreports,2,MINA,1,,,Jasperreports,Jasperreports,,gajim,1,1,0,2
JDT,2,mitmproxy,1,,,JDT,JDT,,gensim,1,1,0,2
Jedit,2,MobileMedia,1,,,Jedit,Jedit,,Groovy,1,1,0,2
JGraphpad,2,Moleculer,1,,,JGraphpad,JGraphpad,,gunicorn,1,1,0,2
Jhotdraw,2,mwlib,1,,,Jhotdraw,Jhotdraw,,horizon,1,1,0,2
jrefactory,2,Mylyn,1,,,jrefactory,jrefactory,,Ignite,1,1,0,2
JStock,2,Nifi,1,,,JStock,JStock,,ipython,1,1,0,2
junit5,2,nltk,1,,,junit5,junit5,,Kafka,1,1,0,2
maven,2,offlineimap,1,,,maven,maven,,Karaf,1,1,0,2
NUnit,2,openPDC,1,,,NUnit,NUnit,,keras,1,1,0,2
OpenPOS,2,OpenPOS,1,,,OpenPOS,OpenPOS,,libcloud,1,1,0,2
PDP,2,pandas,1,,,PDP,PDP,,mitmproxy,1,1,0,2
pgjdbc,2,PDP,1,,,pgjdbc,pgjdbc,,mwlib,1,1,0,2
PHP,2,SoftServe,1,,,PHP,PHP,,Mylyn,1,1,0,2
quilt,2,Solr,1,,,quilt,quilt,,Nifi,1,1,0,2
Retrofit,2,Spark,1,,,Retrofit,Retrofit,,nltk,1,1,0,2
Roller,2,Tajo,1,,,Roller,Roller,,offlineimap,1,1,0,2
rxjava,2,Thunderbird,1,,,rxjava,rxjava,,openPDC,1,1,0,2
UniNFe,2,Tomcat,1,,,UniNFe,UniNFe,,pandas,1,1,0,2
